"","site_id","survey_date","pit_tag_id","sex"
"1",54188,"2021-06-28",982126058790718,0
"2",54188,"2021-06-28",982126058790820,0
"3",54188,"2021-06-28",982126058790827,1
"4",54188,"2021-06-28",982126058790853,1
"5",54188,"2021-06-28",982126058790867,0
"6",54188,"2021-06-28",982126058790892,1
"7",54188,"2021-06-28",982126058790942,0
"8",54188,"2021-06-28",982126058790957,0
"9",54188,"2021-06-28",982126058790961,0
"10",54188,"2021-06-28",982126058790965,0
"11",54188,"2021-06-28",982126058790985,1
"12",54188,"2021-06-28",982126058790991,1
"13",54188,"2021-06-28",982126058791011,0
"14",54188,"2021-06-28",982126058791017,1
"15",54188,"2021-06-28",982126058791032,1
"16",54188,"2021-06-28",982126058791040,0
"17",54188,"2021-06-28",982126058791065,0
"18",54188,"2021-06-28",982126058791085,0
"19",54188,"2021-06-28",982126058791131,1
"20",54188,"2021-06-29",982126058790666,0
"21",54188,"2021-06-29",982126058790760,0
"22",54188,"2021-06-29",982126058790762,1
"23",54188,"2021-06-29",982126058790806,1
"24",54188,"2021-06-29",982126058790892,1
"25",54188,"2021-06-29",982126058790963,1
"26",54188,"2021-06-29",982126058790972,1
"27",54188,"2021-06-29",982126058790987,0
"28",54188,"2021-06-29",982126058790998,0
"29",54188,"2021-06-29",982126058791011,0
"30",54188,"2021-06-29",982126058791013,1
"31",54188,"2021-06-29",982126058791026,0
"32",54188,"2021-06-29",982126058791030,0
"33",54188,"2021-06-29",982126058791043,1
"34",54188,"2021-08-29",982091064358029,0
"35",54188,"2021-08-29",982091064358044,0
"36",54188,"2021-08-29",982091064358049,0
"37",54188,"2021-08-29",982091064358065,1
"38",54188,"2021-08-29",982091064358068,0
"39",54188,"2021-08-29",982091064358094,0
"40",54188,"2021-08-29",982126058791159,1
"41",54188,"2021-08-29",982126058791168,0
"42",54188,"2021-08-29",982126058791181,1
"43",54188,"2021-08-29",982126058791229,1
"44",54188,"2021-08-29",982126058791255,0
"45",54188,"2021-08-30",982091064358014,1
"46",54188,"2021-08-30",982091064358049,0
"47",54188,"2021-08-30",982091064358051,0
"48",54188,"2021-08-30",982091064358061,1
"49",54188,"2021-08-30",982091064358075,0
"50",54188,"2021-08-30",982091064358120,0
"51",54188,"2021-08-30",982091064358121,0
"52",54188,"2021-08-30",982091064358150,0
"53",54188,"2021-08-30",982091064358157,0
"54",54188,"2021-08-30",982091064358160,0
"55",54188,"2021-08-30",982091064358197,0
"56",54188,"2021-08-30",982091064358260,1
"57",54188,"2021-08-30",982126058790864,0
"58",54188,"2021-08-30",982126058790957,0
"59",54188,"2021-08-30",982126058790965,0
"60",54188,"2021-08-30",982126058790969,0
"61",54188,"2021-08-30",982126058790987,0
"62",54188,"2021-08-30",982126058791009,1
"63",54188,"2021-08-30",982126058791032,1
"64",54188,"2021-08-30",982126058791082,0
"65",54188,"2021-08-30",982126058791116,0
"66",54188,"2021-08-30",982126058791147,0
"67",54188,"2021-08-30",982126058791151,0
"68",54188,"2021-08-30",982126058791159,1
"69",54188,"2021-08-30",982126058791190,1
"70",54188,"2021-08-30",982126058791198,0
"71",54188,"2021-08-30",982126058791200,0
"72",54188,"2021-08-30",982126058791287,0
"73",54188,"2021-08-31",982091064358029,0
"74",54188,"2021-08-31",982091064358075,0
"75",54188,"2021-08-31",982091064358133,1
"76",54188,"2021-08-31",982091064358134,0
"77",54188,"2021-08-31",982091064358207,1
"78",54188,"2021-08-31",982091064358260,1
"79",54188,"2021-08-31",982126058790889,0
"80",54188,"2021-08-31",982126058790960,0
"81",54188,"2021-08-31",982126058791009,1
"82",54188,"2021-08-31",982126058791032,1
"83",54188,"2021-08-31",982126058791043,1
"84",54188,"2021-08-31",982126058791060,1
"85",54188,"2021-08-31",982126058791074,0
"86",54188,"2021-08-31",982126058791080,0
"87",54188,"2021-08-31",982126058791116,0
"88",54188,"2021-08-31",982126058791144,1
"89",54188,"2021-08-31",982126058791159,1
"90",54188,"2021-08-31",982126058791168,0
"91",54188,"2021-08-31",982126058791200,0
"92",54188,"2021-08-31",982126058791255,0
"93",54188,"2022-08-20",900043000144937,0
"94",54188,"2022-08-20",982091064358207,1
"95",54188,"2022-08-20",982091064358217,0
"96",54188,"2022-08-20",982091064358225,1
"97",54188,"2022-08-20",982091064358242,0
"98",54188,"2022-08-20",982091064358270,0
"99",54188,"2022-08-20",982091064358290,0
"100",54188,"2022-08-20",982091064358291,1
"101",54188,"2022-08-20",982126058791200,0
"102",54188,"2022-08-20",982126058791206,0
"103",54188,"2022-08-20",982126058791279,1
"104",54188,"2022-08-20",982126058791339,1
"105",54188,"2022-08-21",900043000236638,1
"106",54188,"2022-08-21",900043000236666,0
"107",54188,"2022-08-21",900043000236694,1
"108",54188,"2022-08-21",982091064358029,0
"109",54188,"2022-08-21",982091064358038,1
"110",54188,"2022-08-21",982091064358061,1
"111",54188,"2022-08-21",982091064358067,1
"112",54188,"2022-08-21",982091064358098,1
"113",54188,"2022-08-21",982091064358117,1
"114",54188,"2022-08-21",982091064358133,1
"115",54188,"2022-08-21",982091064358138,1
"116",54188,"2022-08-21",982091064358205,1
"117",54188,"2022-08-21",982091064358217,0
"118",54188,"2022-08-21",982091064358238,1
"119",54188,"2022-08-21",982091064358242,0
"120",54188,"2022-08-21",982091064358281,1
"121",54188,"2022-08-21",982126058790965,0
"122",54188,"2022-08-21",982126058791011,0
"123",54188,"2022-08-21",982126058791015,1
"124",54188,"2022-08-21",982126058791032,1
"125",54188,"2022-08-21",982126058791168,0
"126",54188,"2022-08-21",982126058791190,1
"127",54188,"2022-08-21",982126058791200,0
"128",54188,"2022-08-21",982126058791206,0
"129",54188,"2022-08-22",900043000236601,0
"130",54188,"2022-08-22",900043000236603,1
"131",54188,"2022-08-22",900043000236625,0
"132",54188,"2022-08-22",900043000236626,1
"133",54188,"2022-08-22",900043000236628,0
"134",54188,"2022-08-22",900043000236638,1
"135",54188,"2022-08-22",900043000236642,1
"136",54188,"2022-08-22",900043000236651,1
"137",54188,"2022-08-22",900043000236657,1
"138",54188,"2022-08-22",900043000236660,0
"139",54188,"2022-08-22",900043000236666,0
"140",54188,"2022-08-22",900043000236680,0
"141",54188,"2022-08-22",900043000236681,1
"142",54188,"2022-08-22",900043000236684,0
"143",54188,"2022-08-22",900043000236692,1
"144",54188,"2022-08-22",900043000236699,1
"145",54188,"2022-08-22",982091064358038,1
"146",54188,"2022-08-22",982091064358044,0
"147",54188,"2022-08-22",982091064358094,0
"148",54188,"2022-08-22",982091064358098,1
"149",54188,"2022-08-22",982091064358197,0
"150",54188,"2022-08-22",982091064358207,1
"151",54188,"2022-08-22",982091064358237,0
"152",54188,"2022-08-22",982091064358253,0
"153",54188,"2022-08-22",982091064358265,1
"154",54188,"2022-08-22",982091064358270,0
"155",54188,"2022-08-22",982091064358281,1
"156",54188,"2022-08-22",982091064358302,0
"157",54188,"2022-08-22",982126058790760,0
"158",54188,"2022-08-22",982126058790892,1
"159",54188,"2022-08-22",982126058790965,0
